product_type,price,stock_levels,original_demand,demand_new,demand_increase,delay_risk_after,profit,profit_after,decision,scenario
cosmetics,4.324341185864164,84,391,410.55,19.55000000000001,0,8756.832756167634,8746.679274683249,Reduce Cost,Cost Increase
haircare,4.156308359311108,4,209,219.45,10.449999999999989,0,8998.954209547688,8993.941844408466,Reorder Stock,High Demand
haircare,39.62934398509263,82,142,149.1,7.099999999999994,0,2094.265597550957,2086.214451870987,Reduce Cost,Cost Increase
haircare,97.44694661789282,59,353,370.65,17.649999999999977,0,3694.0135475157767,3691.765569677951,Reorder Stock,High Demand
cosmetics,92.55736081240202,47,352,369.6,17.600000000000023,0,2668.522227552944,2666.7287279506395,Reorder Stock,High Demand
cosmetics,2.397274705597141,48,394,413.7000000000001,19.700000000000102,0,6047.997092765231,6041.064340533356,Reorder Stock,High Demand
cosmetics,63.44755918520733,45,253,265.65000000000003,12.650000000000034,0,8271.509345885715,8266.76996101257,Reorder Stock,High Demand
haircare,8.022859210526393,60,327,343.35,16.350000000000023,0,2705.7529451506616,2699.694002979119,Reorder Stock,High Demand
skincare,50.8473930517187,6,168,176.4,8.400000000000006,0,9592.204296092816,9585.91121543016,Reorder Stock,High Demand
skincare,79.20993601565672,89,781,820.0500000000001,39.05000000000007,1,9535.258915272832,9531.629758067333,Reorder Stock,High Demand
cosmetics,64.7954350001556,4,616,646.8000000000001,30.800000000000068,0,5121.286652391704,5118.415482590071,Reorder Stock,High Demand
skincare,37.46759232984246,1,602,632.1,30.100000000000023,0,9049.937135121872,9048.759759083288,Reorder Stock,High Demand
cosmetics,84.95778681635043,42,449,471.4500000000001,22.450000000000102,0,6478.036367767394,6471.707070063887,Reorder Stock,High Demand
skincare,9.813002578754052,18,963,1011.15,48.14999999999998,0,7525.763142344412,7520.99921079398,Reorder Stock,High Demand
skincare,23.39984475261435,25,963,1011.15,48.14999999999998,0,2402.463997731363,2398.8764044574964,Reorder Stock,High Demand
cosmetics,52.0759306827078,69,705,740.25,35.25,0,9677.151415135651,9675.634752627377,Reorder Stock,High Demand
skincare,19.127477265823256,78,176,184.8,8.800000000000011,1,1897.8973518931489,1896.440520772388,Change Supplier,High Delay
skincare,80.54142417094033,90,933,979.65,46.64999999999998,0,5629.550348212311,5620.009447987916,Reorder Stock,High Demand
skincare,99.11329161531717,64,556,583.8000000000001,27.800000000000068,0,5420.099930718433,5409.98939788918,Reorder Stock,High Demand
skincare,46.52916761451677,22,155,162.75,7.75,0,1735.6603568903406,1725.2654499936982,Reorder Stock,High Demand
haircare,11.74327177630924,36,598,627.9,29.899999999999977,0,5707.454211893302,5704.45707317073,Reorder Stock,High Demand
cosmetics,51.35579091311039,13,919,964.95,45.950000000000045,0,7122.15449315725,7119.141337529423,Reorder Stock,High Demand
haircare,33.78413803306551,93,24,25.200000000000003,1.2000000000000028,0,5196.429108061817,5189.276338116947,Reduce Cost,Cost Increase
haircare,27.0822071998889,92,859,901.95,42.950000000000045,0,2475.3740515854606,2467.2347206806467,Reorder Stock,High Demand
skincare,95.71213588093607,4,910,955.5,45.5,0,7060.782506266943,7057.9133319002185,Reorder Stock,High Demand
haircare,76.03554442689172,30,29,30.450000000000003,1.4500000000000028,0,7366.84880784816,7363.826588174258,Reduce Cost,Cost Increase
cosmetics,78.89791320564004,97,99,103.95,4.950000000000003,0,7984.959770042122,7983.294426394434,Reduce Cost,Cost Increase
cosmetics,14.203484264803022,31,633,664.65,31.649999999999977,0,5859.458770829288,5854.316108945327,Reorder Stock,High Demand
haircare,26.70076097246173,100,154,161.70000000000002,7.700000000000017,0,9847.492129077178,9845.594796186926,Reduce Cost,Cost Increase
skincare,98.03182965646508,64,820,861.0,41.0,0,9417.964707583764,9416.184917450926,Reorder Stock,High Demand
skincare,30.34147071121421,96,242,254.1,12.099999999999994,0,8147.977283868047,8139.54152931227,Reduce Cost,Cost Increase
haircare,31.146243160240854,33,622,653.1,31.100000000000023,0,6053.530353093748,6050.0812404090375,Reorder Stock,High Demand
haircare,79.85505834078943,97,701,736.0500000000001,35.05000000000007,0,2890.3372600921653,2886.803469071001,Reorder Stock,High Demand
skincare,20.986386037043378,25,93,97.65,4.650000000000006,0,4752.409770057233,4750.948698628542,Reduce Cost,Cost Increase
haircare,49.26320535073416,5,227,238.35,11.349999999999994,0,1528.9267188699455,1521.2327007176998,Reorder Stock,High Demand
skincare,59.84156137728931,10,896,940.8,44.799999999999955,0,1951.1639566777044,1944.165371311764,Reorder Stock,High Demand
cosmetics,63.828398347710966,100,484,508.2000000000001,24.200000000000102,0,1052.424038172901,1051.504589688862,Reorder Stock,High Demand
skincare,17.028027920188702,41,380,399.0,19.0,1,8772.489923613197,8763.330481015873,Reorder Stock,High Demand
haircare,52.02874990329492,32,117,122.85,5.849999999999994,0,6797.856616504851,6789.083343065712,Reduce Cost,Cost Increase
cosmetics,72.79635395558736,86,270,283.5,13.5,0,3871.406489615279,3868.572455203884,Reduce Cost,Cost Increase
skincare,13.017376785287857,54,246,258.3,12.300000000000011,0,4234.416203346607,4232.162909596246,Reduce Cost,Cost Increase
skincare,89.63409560813533,73,134,140.70000000000002,6.700000000000017,0,8445.452482473105,8444.124642883698,Reduce Cost,Cost Increase
skincare,33.69771720664313,57,457,479.85,22.850000000000023,0,8346.40192239106,8345.584145981966,Reorder Stock,High Demand
skincare,26.03486977396209,13,704,739.2,35.200000000000045,0,8323.421038553073,8318.990980606364,Reorder Stock,High Demand
skincare,87.75543235400107,12,513,538.65,25.649999999999977,0,9457.592344816649,9455.971776047478,Reorder Stock,High Demand
haircare,37.93181238279032,0,163,171.15,8.150000000000006,0,3451.910599352645,3442.0798160098097,Reorder Stock,High Demand
skincare,54.86552851706979,95,511,536.5500000000001,25.550000000000068,0,1665.0480348812562,1656.3147296209693,Reorder Stock,High Demand
haircare,47.914541824058766,10,32,33.6,1.6000000000000014,0,6997.131487625026,6995.35583766719,Reduce Cost,Cost Increase
cosmetics,6.381533162747966,76,637,668.85,31.850000000000023,0,8140.447217630531,8136.458230851039,Reorder Stock,High Demand
cosmetics,90.20442752052809,57,478,501.9,23.899999999999977,0,2570.7618742573222,2564.525863551829,Reorder Stock,High Demand
cosmetics,83.8510176813046,17,375,393.75,18.75,0,7862.503740506152,7857.665422942699,Reorder Stock,High Demand
haircare,3.170011413566155,41,904,949.2,45.200000000000045,0,5624.126789162802,5615.544938482153,Reorder Stock,High Demand
skincare,92.99688423397066,16,106,111.3,5.299999999999997,0,1838.534909378283,1833.4810413381776,Reorder Stock,High Demand
haircare,69.10879954743032,38,241,253.05,12.050000000000011,0,5256.997848165321,5249.860034552077,Reorder Stock,High Demand
haircare,57.44974295897148,96,359,376.95,17.94999999999999,0,2434.026786168185,2429.053447030724,Reduce Cost,Cost Increase
haircare,6.306883176111915,5,946,993.3,47.299999999999955,0,1212.8648534464908,1204.9054969973645,Reorder Stock,High Demand
haircare,57.05703122110322,31,198,207.9,9.900000000000006,0,7824.356040138749,7817.919317309917,Reorder Stock,High Demand
skincare,91.12831835044432,39,872,915.6,43.60000000000002,0,8571.878270278827,8563.898829008502,Reorder Stock,High Demand
haircare,72.81920693031822,48,774,812.7,38.700000000000045,0,4360.557529602448,4358.171942558106,Reorder Stock,High Demand
skincare,17.034930739467917,42,336,352.8,16.80000000000001,0,2934.2084073009664,2933.291061270118,Reorder Stock,High Demand
haircare,68.91124621160633,65,663,696.15,33.14999999999998,0,2309.074198731961,2298.806155394108,Reorder Stock,High Demand
haircare,89.10436729210225,73,618,648.9,30.899999999999977,0,2006.0998477105784,2001.8808224967652,Reorder Stock,High Demand
cosmetics,76.96299441519388,15,25,26.25,1.25,0,8606.434545030314,8598.616693607959,Reduce Cost,Cost Increase
skincare,19.99817694040422,32,223,234.15,11.150000000000006,0,1153.5277532596351,1145.9214257291003,Reorder Stock,High Demand
haircare,80.41403665035574,5,79,82.95,3.950000000000003,0,5098.573900465,5095.046620402831,Reorder Stock,High Demand
cosmetics,75.27040697572501,60,737,773.85,36.85000000000002,0,9372.755860873009,9365.55724365401,Reorder Stock,High Demand
cosmetics,97.76008558193868,90,134,140.70000000000002,6.700000000000017,0,5868.148877226309,5862.495508263617,Reduce Cost,Cost Increase
skincare,13.881913501359142,66,320,336.0,16.0,0,9499.2831762364,9489.94813683201,Reorder Stock,High Demand
cosmetics,62.11196546396179,98,916,961.8,45.799999999999955,0,1887.9623969208576,1883.237957262184,Reorder Stock,High Demand
cosmetics,47.71423307582023,90,276,289.8,13.800000000000011,0,2033.0475642041984,2026.3393451620248,Reduce Cost,Cost Increase
haircare,69.29083100290549,63,114,119.7,5.700000000000003,0,4488.762049289561,4484.498040849327,Reduce Cost,Cost Increase
cosmetics,3.037688724631414,77,987,1036.35,49.34999999999991,0,7821.026222104978,7814.293189649289,Reorder Stock,High Demand
haircare,77.90392721944775,15,672,705.6,33.60000000000002,0,7318.842919410471,7312.090816946652,Reorder Stock,High Demand
cosmetics,24.42313142037338,67,324,340.2,16.19999999999999,0,7675.268131256728,7672.95246781919,Reorder Stock,High Demand
haircare,3.526111259143416,46,62,65.10000000000001,3.1000000000000085,0,4297.246578446959,4289.879578293201,Reduce Cost,Cost Increase
skincare,19.7546048668786,53,913,958.65,45.64999999999998,0,8518.938067724017,8518.236618528066,Reorder Stock,High Demand
haircare,68.51783269927664,55,627,658.35,31.350000000000023,1,9145.801906904955,9141.863514677283,Reorder Stock,High Demand
skincare,94.61,74,701,736.0500000000001,35.05000000000007,1,67578.5063285598,67575.73079331579,Reorder Stock,High Demand
skincare,22.41,174,700,735.0,35.0,0,15170.4413908055,15160.71316518605,Reduce Cost,Cost Increase
haircare,63.08,80,509,534.45,25.450000000000045,1,34158.5058702822,34149.621878710415,Reorder Stock,High Demand
haircare,8.84,52,725,761.25,36.25,1,6217.0896530897,6212.167963398671,Reorder Stock,High Demand
skincare,92.44,161,28,29.4,1.3999999999999986,1,2702.0656798731,2694.64369066041,Change Supplier,High Delay
cosmetics,50.96,178,207,217.35,10.349999999999994,1,10375.2746084817,10373.21705952987,Change Supplier,High Delay
haircare,43.81,91,340,357.0,17.0,0,16034.7148661288,16031.69988664168,Reduce Cost,Cost Increase
cosmetics,36.12,185,472,495.6,23.600000000000023,1,17696.4214161032,17691.97561481352,Change Supplier,High Delay
skincare,57.25,182,672,705.6,33.60000000000002,1,38805.9247528097,38798.61916959067,Change Supplier,High Delay
cosmetics,36.36,147,403,423.15,20.149999999999977,0,15170.1019039542,15159.92427454962,Reduce Cost,Cost Increase
skincare,33.21,159,304,319.2,15.199999999999989,0,10953.5102140766,10945.30124938426,Reduce Cost,Cost Increase
haircare,61.4,53,914,959.7,45.700000000000045,0,52242.0081117843,52234.95525256273,Reorder Stock,High Demand
skincare,97.12,20,438,459.9,21.899999999999977,1,45970.9852558386,45968.73062852246,Reorder Stock,High Demand
cosmetics,73.05,94,280,294.0,14.0,0,19693.5195973255,19686.708222458048,Reduce Cost,Cost Increase
haircare,32.42,169,393,412.65,19.649999999999977,0,13212.0733431309,13207.57744014399,Reduce Cost,Cost Increase
skincare,18.36,62,959,1006.95,47.950000000000045,1,15888.0306523713,15879.52523280843,Reorder Stock,High Demand
skincare,72.26,105,820,861.0,41.0,1,54843.2130142414,54837.43449456554,Reorder Stock,High Demand
skincare,73.6,68,272,285.6,13.600000000000023,0,20059.8957165539,20057.28037390929,Reduce Cost,Cost Increase
haircare,46.79,22,612,642.6,30.600000000000023,0,26658.9447229344,26648.451621627843,Reorder Stock,High Demand
cosmetics,63.37,32,664,697.2,33.200000000000045,1,43521.1571392443,43516.40819686873,Reorder Stock,High Demand
skincare,16.34,161,605,635.25,30.25,1,10505.7136230037,10499.52830810407,Change Supplier,High Delay
skincare,43.11,11,664,697.2,33.200000000000045,1,30627.0680264427,30617.096277786968,Reorder Stock,High Demand
haircare,32.14,110,735,771.75,36.75,0,25658.3175035564,25648.966302512043,Reorder Stock,High Demand
skincare,58.59,185,658,690.9,32.89999999999998,0,42089.5747402397,42081.95875726368,Reduce Cost,Cost Increase
cosmetics,90.41,158,301,316.05,15.050000000000011,0,28545.2388894298,28540.51608957278,Reduce Cost,Cost Increase
skincare,70.61,152,190,199.5,9.5,1,13038.6759535178,13027.72554266958,Change Supplier,High Delay
haircare,19.13,53,526,552.3000000000001,26.300000000000068,0,9595.44986104,9590.114447144,Reorder Stock,High Demand
skincare,33.14,156,502,527.1,25.100000000000023,1,14967.3597737825,14956.07820696075,Change Supplier,High Delay
skincare,97.69,58,853,895.6500000000001,42.65000000000009,0,87406.8610182187,87398.64507164057,Reorder Stock,High Demand
cosmetics,81.92,50,85,89.25,4.25,1,6810.1218843929,6801.70149433219,Change Supplier,High Delay
skincare,88.02,84,401,421.05,20.05000000000001,1,32627.000977939097,32618.45519203301,Change Supplier,High Delay
cosmetics,42.5,183,81,85.05,4.049999999999997,0,3670.2058359671,3662.02692466381,Reduce Cost,Cost Increase
skincare,26.03,154,696,730.8000000000001,34.80000000000007,0,17766.210929057703,17763.15248556347,Reduce Cost,Cost Increase
haircare,33.06,55,73,76.65,3.6500000000000057,1,2181.4863365849,2177.97612514339,Change Supplier,High Delay
skincare,15.55,150,312,327.6,15.600000000000023,0,4401.7624648112005,4392.378109492321,Reduce Cost,Cost Increase
haircare,80.69,108,25,26.25,1.25,0,2031.8317972916,2026.06409392076,Reduce Cost,Cost Increase
cosmetics,8.66,93,710,745.5,35.5,1,5906.0059580764,5898.30389508404,Reorder Stock,High Demand
cosmetics,30.44,135,574,602.7,28.700000000000045,0,18936.64883986,18933.011769146,Reduce Cost,Cost Increase
cosmetics,35.9,4,673,706.65,33.64999999999998,0,23511.4346749982,23509.69780459802,Reorder Stock,High Demand
cosmetics,80.26,161,334,350.7,16.69999999999999,1,29044.1081589819,29035.72094498009,Change Supplier,High Delay
skincare,88.07,13,402,422.1,20.100000000000023,0,37590.1201259,37584.53952089,Reorder Stock,High Demand
haircare,67.1,32,448,470.4,22.399999999999977,1,28030.3686645857,28027.692330444268,Reorder Stock,High Demand
cosmetics,17.62,156,877,920.85,43.85000000000002,1,14220.2503216334,14212.12777079674,Reorder Stock,High Demand
haircare,24.32,140,815,855.75,40.75,0,18881.5672258913,18871.71204168043,Reorder Stock,High Demand
skincare,47.75,150,462,485.1,23.100000000000023,0,23909.611027086,23902.8750591946,Reduce Cost,Cost Increase
haircare,38.84,161,602,632.1,30.100000000000023,0,25322.4204587713,25320.15591124843,Reduce Cost,Cost Increase
skincare,25.85,62,361,379.05,18.05000000000001,0,8617.0949888412,8611.19202222532,Reorder Stock,High Demand
cosmetics,47.44,165,502,527.1,25.100000000000023,0,23513.0967195757,23511.13295303327,Reduce Cost,Cost Increase
haircare,21.67,50,54,56.7,2.700000000000003,1,1087.8141140328,1083.33915693608,Change Supplier,High Delay
cosmetics,18.68,128,548,575.4,27.399999999999977,0,10465.7314200058,10459.37901120638,Reduce Cost,Cost Increase
haircare,78.82,114,727,763.35,36.35000000000002,1,60668.2613684161,60661.22654815771,Reorder Stock,High Demand
cosmetics,51.33,75,17,17.85,0.8500000000000014,1,785.4940543265,778.43608905915,Change Supplier,High Delay
skincare,14.18,114,363,381.15,18.149999999999977,1,4720.4871702662,4710.29489099282,Change Supplier,High Delay
skincare,24.42,153,958,1005.9,47.89999999999998,1,25483.333176547003,25479.2312505017,Reorder Stock,High Demand
haircare,31.74,54,817,857.85,40.85000000000002,0,23942.373801292,23931.810515921203,Reorder Stock,High Demand
skincare,13.93,85,711,746.5500000000001,35.55000000000007,1,10797.540631506,10787.9574564566,Reorder Stock,High Demand
haircare,55.68,36,620,651.0,31.0,1,31816.780118434403,31808.27089417784,Reorder Stock,High Demand
cosmetics,9.85,122,141,148.05,7.050000000000011,1,1252.4111322335,1241.9903804568498,Change Supplier,High Delay
skincare,10.3,145,142,149.1,7.099999999999994,0,1287.3751428147,1275.79072899617,Reduce Cost,Cost Increase
cosmetics,48.66,58,226,237.3,11.300000000000011,1,10233.5554683992,10230.42863463912,Change Supplier,High Delay
skincare,29.25,122,99,103.95,4.950000000000003,1,2924.724022836,2921.9877972196,Change Supplier,High Delay
skincare,13.95,24,332,348.6,16.600000000000023,1,4095.7194424184,4085.1842835602406,Reorder Stock,High Demand
skincare,62.72,90,323,339.15000000000003,16.150000000000034,1,19592.94958290589,19588.05186709649,Change Supplier,High Delay
cosmetics,48.5,180,535,561.75,26.75,1,23297.116891965,23288.8834947615,Change Supplier,High Delay
haircare,69.69,59,233,244.65,11.650000000000006,0,17643.1656064146,17633.34601365606,Reduce Cost,Cost Increase
cosmetics,66.82,6,676,709.8000000000001,33.80000000000007,0,46400.4575747983,46390.15235837813,Reorder Stock,High Demand
haircare,12.0,80,84,88.2,4.200000000000003,0,981.3539118774,975.57435696514,Reduce Cost,Cost Increase
skincare,86.93,144,539,565.95,26.950000000000045,0,51211.303676951095,51208.16045514621,Reduce Cost,Cost Increase
haircare,55.86,187,740,777.0,37.0,0,41746.4167481348,41739.12703094828,Reduce Cost,Cost Increase
cosmetics,71.01,45,88,92.4,4.400000000000006,1,5744.7712160769,5738.61214708459,Change Supplier,High Delay
haircare,53.24,118,122,128.1,6.099999999999994,0,6817.2337998943,6810.38128438373,Reduce Cost,Cost Increase
skincare,53.11,21,84,88.2,4.200000000000003,0,4465.2894983813,4460.965404219431,Reduce Cost,Cost Increase
skincare,87.59,197,695,729.75,34.75,1,55261.097877931,55255.2950538241,Change Supplier,High Delay
skincare,47.87,151,732,768.6,36.60000000000002,1,34036.6611252744,34026.62143920184,Reorder Stock,High Demand
skincare,51.46,99,911,956.55,45.549999999999955,1,44351.136198516906,44345.96546816859,Reorder Stock,High Demand
haircare,60.43,192,28,29.4,1.3999999999999986,0,1564.9068470459,1560.37848985049,Reduce Cost,Cost Increase
skincare,72.9,164,886,930.3,44.299999999999955,0,60260.2752229442,60256.728253038615,Reorder Stock,High Demand
cosmetics,35.51,42,206,216.3,10.300000000000011,0,7557.0714975732,7553.73761073052,Reorder Stock,High Demand
haircare,67.12,174,352,369.6,17.600000000000023,0,22284.6979006172,22275.97006247892,Reduce Cost,Cost Increase
skincare,45.05,191,361,379.05,18.05000000000001,1,14898.2588759137,14889.73970790507,Change Supplier,High Delay
cosmetics,84.38,53,851,893.5500000000001,42.55000000000007,0,77041.9810877457,77035.64544852027,Reorder Stock,High Demand
haircare,59.62,71,942,989.1,47.10000000000002,1,56127.4119159833,56123.44891818163,Reorder Stock,High Demand
cosmetics,9.59,123,619,649.95,30.950000000000045,0,5324.218672769801,5321.48374374678,Reorder Stock,High Demand
skincare,61.7,131,670,703.5,33.5,1,43048.9351500157,43041.21961061727,Reorder Stock,High Demand
skincare,13.86,20,891,935.55,44.549999999999955,1,11065.6226975078,11060.11335385858,Reorder Stock,High Demand
skincare,82.05,68,676,709.8000000000001,33.80000000000007,0,51539.2029664945,51535.132256243945,Reorder Stock,High Demand
skincare,97.91,117,263,276.15000000000003,13.150000000000034,0,26673.4486465891,26665.25977794801,Reduce Cost,Cost Increase
skincare,42.66,59,425,446.25,21.25,1,18515.0261520936,18510.99690870296,Reorder Stock,High Demand
skincare,15.35,30,442,464.1,22.100000000000023,0,7303.1929570923,7292.94524740153,Reorder Stock,High Demand
cosmetics,29.2,199,149,156.45000000000002,7.450000000000017,0,3946.2078077332,3941.17026610652,Reduce Cost,Cost Increase
cosmetics,32.33,149,196,205.8,9.800000000000011,1,6734.877674752401,6727.3831430276405,Change Supplier,High Delay
haircare,11.88,19,675,708.75,33.75,1,7401.0371017616,7391.60095023776,Reorder Stock,High Demand
skincare,16.07,187,964,1012.2,48.200000000000045,1,14332.2947131454,14329.41246715994,Reorder Stock,High Demand
cosmetics,48.0,55,382,401.1,19.100000000000023,0,20132.7495296959,20130.94710686549,Reorder Stock,High Demand
haircare,60.74,190,231,242.55,11.550000000000011,0,14596.239912148,14589.8222041628,Reduce Cost,Cost Increase
haircare,57.61,180,213,223.65,10.650000000000006,0,13064.8562522096,13062.20461343056,Reduce Cost,Cost Increase
skincare,45.11,104,554,581.7,27.700000000000045,1,26387.9733381778,26385.220045095582,Reorder Stock,High Demand
skincare,30.2,68,956,1003.8,47.799999999999955,0,28555.6541289551,28552.61293715061,Reorder Stock,High Demand
skincare,98.25,50,399,418.9500000000001,19.950000000000102,0,42576.881630020296,42567.60404652233,Reorder Stock,High Demand
haircare,10.89,9,378,396.9,18.899999999999977,1,3995.8392148141,3985.5713430955097,Reorder Stock,High Demand
skincare,48.45,171,626,657.3000000000001,31.300000000000068,1,32914.9668621598,32904.72640367578,Change Supplier,High Delay
cosmetics,71.38,85,663,696.15,33.14999999999998,0,48704.578243955,48694.735076350495,Reorder Stock,High Demand
cosmetics,72.68,29,703,738.15,35.14999999999998,0,46987.6986975757,46979.75640603327,Reorder Stock,High Demand
haircare,68.1,111,231,242.55,11.550000000000011,0,15997.4530558585,15987.91367754435,Reduce Cost,Cost Increase
cosmetics,40.04,153,20,21.0,1.0,1,781.7094769661,775.30954186271,Change Supplier,High Delay
skincare,63.71,59,670,703.5,33.5,1,45258.4355418073,45255.33571708803,Reorder Stock,High Demand
skincare,17.89,117,763,801.15,38.14999999999998,0,14301.8737905929,14294.27512935219,Reorder Stock,High Demand
skincare,62.2,146,849,891.45,42.450000000000045,0,57276.4062134344,57269.52434397784,Reorder Stock,High Demand
cosmetics,75.88,107,838,879.9000000000001,41.90000000000009,1,57903.1664414208,57897.76739496287,Reorder Stock,High Demand
cosmetics,31.33,81,813,853.6500000000001,40.65000000000009,0,27246.939540327,27244.631530459697,Reorder Stock,High Demand
cosmetics,76.53,68,313,328.65000000000003,15.650000000000034,1,23874.2534766753,23868.933791842832,Change Supplier,High Delay
skincare,58.51,42,573,601.65,28.649999999999977,0,31592.0035526405,31581.35954670455,Reorder Stock,High Demand
skincare,15.54,191,294,308.7,14.699999999999989,1,4819.551228628399,4816.63265969124,Change Supplier,High Delay
skincare,97.66,130,881,925.05,44.049999999999955,1,77864.0393447733,77860.23301755062,Reorder Stock,High Demand
skincare,81.01,41,911,956.55,45.549999999999955,1,79891.52851484151,79887.99651212565,Reorder Stock,High Demand
cosmetics,92.19,118,544,571.2,27.200000000000045,0,46214.7185347243,46204.56786819673,Reduce Cost,Cost Increase
skincare,89.23,115,227,238.35,11.349999999999994,0,18922.1367234622,18915.46013010842,Reduce Cost,Cost Increase
skincare,83.51,40,417,437.85,20.850000000000023,1,32966.442879331,32961.8909283641,Reorder Stock,High Demand
haircare,19.86,86,660,693.0,33.0,1,12308.9682985175,12300.62555316925,Reorder Stock,High Demand
skincare,87.81,45,407,427.35,20.350000000000023,1,33348.180978051,33345.6641243561,Reorder Stock,High Demand
cosmetics,73.59,62,284,298.2,14.199999999999989,1,18846.7504706868,18842.93853595548,Change Supplier,High Delay
haircare,67.07,1,708,743.4,35.39999999999998,1,43297.4311777413,43292.22581291543,Reorder Stock,High Demand
haircare,12.98,64,905,950.25,45.25,0,12091.949578495402,12086.70296494494,Reorder Stock,High Demand
skincare,21.72,193,406,426.3,20.30000000000001,0,9239.9918261193,9231.58588443123,Reduce Cost,Cost Increase
skincare,27.45,140,432,453.6,21.600000000000023,1,11250.8557504649,11242.11624861139,Change Supplier,High Delay
cosmetics,32.76,182,856,898.8000000000001,42.80000000000007,1,28169.96922213909,28164.98754675301,Change Supplier,High Delay
cosmetics,91.09,157,520,546.0,26.0,0,50709.99358828191,50700.54318301009,Reduce Cost,Cost Increase
haircare,35.16,193,770,808.5,38.5,1,27908.010339071,27900.2153533781,Change Supplier,High Delay
haircare,40.87,100,235,246.75,11.75,0,9523.6875015144,9518.30040276584,Reduce Cost,Cost Increase
cosmetics,79.55,103,172,180.6,8.599999999999994,1,14785.2928286779,14781.54904594569,Change Supplier,High Delay
haircare,48.97,125,988,1037.4,49.40000000000009,0,43520.0165724756,43511.11253932316,Reorder Stock,High Demand
haircare,13.44,49,363,381.15,18.149999999999977,1,4706.4940016898,4700.20102655878,Reorder Stock,High Demand
cosmetics,41.88,48,278,291.90000000000003,13.900000000000034,1,11659.5562967075,11651.606049078253,Reorder Stock,High Demand
skincare,40.91,110,959,1006.95,47.950000000000045,0,36324.523866233896,36316.81293215729,Reorder Stock,High Demand
skincare,30.27,172,91,95.55,4.549999999999997,0,2912.9625503153,2906.24437754683,Reduce Cost,Cost Increase
skincare,86.86,189,762,800.1,38.10000000000002,0,66008.5798957269,66002.06604189958,Reduce Cost,Cost Increase
cosmetics,13.17,71,849,891.45,42.450000000000045,1,11432.4167427994,11426.17334537934,Reorder Stock,High Demand
skincare,82.96,46,664,697.2,33.200000000000045,1,57559.6016984347,57550.26332157817,Reorder Stock,High Demand
cosmetics,61.38,3,265,278.25,13.25,1,16884.2426749544,16873.50329044984,Reorder Stock,High Demand
haircare,45.65,158,450,472.5,22.5,1,21319.4389901852,21310.80917250372,Change Supplier,High Delay
haircare,66.18,53,446,468.3,22.30000000000001,0,29173.9201695959,29166.87054105549,Reorder Stock,High Demand
